year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,161,99,68,113
1988,77,227,39,51
1989,55,136,74,302
1990,37,133,53,108
1991,121,44,24,133
1992,35,111,48,209
1993,20,181,68,162
1994,81,117,32,141
1995,75,79,20,226
1996,164,110,44,159
1997,67,173,165,267
1998,67,140,63,35
1999,55,78,133,131
2000,47,166,78,250
2001,248,52,75,59
2002,72,74,73,217
2003,132,122,102,174
2004,77,87,29,104
2005,20,91,25,161
2006,57,113,85,130
2007,43,128,77,60
2008,51,223,28,107
2009,45,60,22,137
2010,127,135,22,177
2011,95,88,48,88
2012,13,91,44,143
2013,146,117,78,82
2014,133,39,98,109
2015,49,123,16,129
2016,131,147,13,57
