year,A1,A2,A3
,label A1,label A2,label A3
1987,54,1961,396
1988,38,1802,323
1989,40,1897,313
1990,87,1787,592
1991,71,1954,561
1992,63,1972,391
1993,39,1892,349
1994,37,1949,367
1995,61,1601,491
1996,61,1886,456
1997,38,2095,348
1998,63,1765,486
1999,53,2081,426
2000,47,1864,415
2001,60,1991,461
2002,63,1816,506
2003,60,1913,395
2004,66,2045,460
2005,54,1939,390
2006,60,1736,464
2007,46,1835,382
2008,63,1860,408
2009,64,1801,481
2010,40,1760,313
2011,51,1954,371
2012,69,1882,491
2013,43,1695,332
2014,53,1928,355
2015,55,1874,396
2016,61,2004,433
2016
2017,86,1637,611
2018,96,1593,716
2019,87,1813,636
2020,68,1738,435
2021,88,1748,707
2022,78,1737,596
2023,76,1659,607
2024,75,1578,632
2025,82,2012,564
2026,73,1592,516
2027,72,1646,597
2028,93,1796,643
2029,73,1720,617
2030,59,1657,510
2031,88,1504,625
2032,88,1761,654
2033,100,1822,665
2034,108,1680,783
2035,91,1596,685
2036,87,1829,727
2037,76,1504,604
2038,77,1585,584
2039,90,1516,670
2040,97,1554,672
2041,79,1753,537
2042,75,1827,557
2043,67,1756,491
2044,85,1810,597
2045,105,1387,756
2046,67,1611,493
