year,F1,F3,M4
,label F1,label F3,label M4-FGN
1987,44,103,3
1988,29,97,4
1989,26,110,1
1990,38,104,3
1991,37,111,3
1992,35,115,3
1993,26,114,3
1994,49,110,0
1995,39,108,2
1996,39,106,2
1997,36,117,2
1998,22,108,4
1999,29,113,3
2000,23,117,2
2001,37,111,1
2002,29,106,3
2003,31,108,4
2004,41,121,4
2005,23,113,2
2006,25,101,3
2007,26,108,4
2008,25,105,2
2009,27,108,4
2010,32,100,2
2011,36,108,2
2012,40,115,2
2013,27,101,3
2014,33,118,2
2015,35,103,3
2016,26,109,2
2016,0
2017,26,104,2
2018,33,91,3
2019,33,107,3
2020,24,9,2
2021,27,105,2
2022,35,102,4
2023,27,102,3
2024,25,103,4
2025,32,124,2
2026,26,94,3
2027,22,103,2
2028,38,105,1
2029,25,107,3
2030,22,106,3
2031,34,92,1
2032,34,104,3
2033,34,101,3
2034,29,107,3
2035,23,105,3
2036,27,115,3
2037,27,96,2
2038,24,102,3
2039,23,9,3
2040,23,95,3
2041,22,107,4
2042,34,108,3
2043,30,109,3
2044,28,104,2
2045,18,103,1
2046,27,94,1
