year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,142,116,50,133
1988,80,327,114,53
1989,42,144,76,56
1990,17,200,36,125
1991,82,153,56,86
1992,45,207,107,155
1993,40,180,84,79
1994,44,91,130,140
1995,87,81,30,150
1996,124,87,123,166
1997,81,174,139,161
1998,55,119,144,70
1999,97,103,123,132
2000,26,100,77,170
2001,130,44,109,73
2002,42,191,96,150
2003,154,136,116,150
2004,157,141,132,109
2005,48,86,31,171
2006,86,172,90,54
2007,169,161,21,45
2008,73,270,82,165
2009,88,85,48,158
2010,56,90,54,93
2011,70,131,30,54
2012,38,109,56,136
2013,229,149,62,65
2014,69,90,89,136
2015,160,88,88,61
2016,190,51,37,96
