year,A1,A2,A3
,label A1,label A2,label A3
1987,11,2244,104
1988,19,2274,132
1989,11,2179,87
1990,16,2236,104
1991,18,2229,166
1992,10,2373,73
1993,7,2063,106
1994,13,2150,141
1995,18,2317,115
1996,3,2361,49
1997,11,2117,87
1998,11,2345,70
1999,5,2144,71
2000,9,2392,97
2001,16,2545,97
2002,26,2101,148
2003,23,2102,162
2004,6,2173,97
2005,9,2350,67
2006,17,2075,124
2007,16,1992,123
2008,11,2240,96
2009,8,2065,67
2010,8,2262,72
2011,23,2332,162
2012,16,2253,113
2013,12,2358,99
2014,11,2029,98
2015,12,2125,86
2016,15,2386,101
2016
2017,25,2201,152
2018,43,1964,268
2019,13,2092,126
2020,30,1925,196
2021,22,1967,197
2022,17,2058,156
2023,24,2093,219
2024,21,1849,195
2025,30,1838,188
2026,23,2011,223
2027,13,1967,139
2028,26,2179,180
2029,12,2059,120
2030,15,2209,145
2031,34,1960,215
2032,20,1932,144
2033,35,1992,235
2034,29,1991,220
2035,49,2033,259
2036,18,2078,141
2037,25,2027,181
2038,34,1945,243
2039,33,1893,218
2040,30,1925,227
2041,32,2004,221
2042,24,1907,183
2043,20,1846,158
2044,33,1952,217
2045,36,2035,237
2046,24,2042,156

min,,1600
max,,2950
steps,,10
decimal



