year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,1,-125,-228,171
1988,199,-181,-175,6
1989,38,-225,-312,131
1990,100,-156,-312,118
1991,83,-103,-198,80
1992,-15,-169,-158,99
1993,-14,-82,-150,79
1994,102,-135,-126,100
1995,184,-210,-222,55
1996,34,-195,-258,65
1997,5,-120,-233,92
1998,20,-59,-124,138
1999,56,-80,-167,154
2000,8,-101,-92,299
2001,276,-139,-146,56
2002,55,-153,-192,295
2003,27,-228,-259,138
2004,91,-203,-141,79
2005,-12,-163,-254,99
2006,71,-218,-199,158
2007,96,-76,-122,32
2008,126,-93,-163,93
2009,49,-104,-230,176
2010,59,-230,-233,174
2011,4,-263,-126,73
2012,-38,-43,-153,241
2013,115,-85,-247,236
2014,237,-127,-159,174
2015,73,-166,-129,61
2016,201,-86,-288,33
2017,46,-182,-146,106
2018,105,-150,-259,116
2019,14,-119,-269,296
2020,108,-129,-232,203
