year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,92,158,62,253
1988,300,113,103,84
1989,134,86,27,217
1990,187,105,30,183
1991,152,120,88,129
1992,63,111,99,166
1993,75,183,135,165
1994,193,149,164,179
1995,290,85,119,145
1996,138,89,71,147
1997,96,186,82,180
1998,116,206,168,215
1999,152,188,153,242
2000,100,172,202,383
2001,367,157,160,143
2002,166,134,112,384
2003,145,100,100,227
2004,200,106,162,165
2005,87,131,79,189
2006,165,79,141,248
2007,201,201,145,108
2008,227,193,128,174
2009,149,177,75,264
2010,160,83,89,251
2011,105,64,163,161
2012,67,227,128,319
2013,197,169,100,318
2014,340,162,141,257
2015,165,135,183,152
2016,307,173,58,118
2017,148,147,156,184
2018,197,167,96,209
2019,117,175,100,376
2020,223,212,106,288
