year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,3.8,13.4,18.5,8.8
1988,7.4,14.2,17.1,9.6
1989,7.8,14.2,19.1,10.2
1990,9.1,14.2,19.3,9.2
1991,6.0,12.5,19.4,8.3
1992,6.5,14.3,18.1,9.4
1993,7.3,14.3,16.8,8.3
1994,8.5,13.6,18.5,11.2
1995,8.1,13.8,19.3,9.8
1996,6.5,13.5,17.7,8.5
1997,7.3,14.3,19.2,10.5
1998,7.7,14.0,17.5,9.1
1999,8.2,14.6,19.5,9.7
2000,7.4,14.5,18.4,10.3
2001,7.9,14.1,18.4,9.7
2002,9.1,14.0,17.9,11.0
2003,7.3,15.5,20.3,9.7
2004,7.1,14.0,18.3,9.4
2005,7.1,14.4,18.5,9.5
2006,5.6,14.7,19.9,10.9
2007,8.7,15.2,16.6,8.6
2008,7.8,14.1,16.9,8.5
2009,5.9,14.1,17.8,9.9
2010,5.4,13.8,18.0,7.6
2011,7.9,15.0,17.7,11.4
2012,7.2,13.4,17.2,9.9
2013,5.7,12.4,19.3,10.3
2014,8.2,14.0,18.3,10.9
2015,6.8,14.4,17.7,11.7
2016,7.3,13.5,19.4,8.9
2017,7.4,15.1,18.1,10.1
2018,6.9,15.6,19.4,10.5
2019,8.0,14.0,19.3,10.1
2020,8.9,15.7,18.9,10.4
