year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,127,162,127,147
1988,274,126,158,98
1989,40,273,203,75
1990,73,103,98,271
1991,51,121,229,144
1992,237,106,143,172
1993,56,169,202,148
1994,118,171,94,139
1995,230,220,126,135
1996,94,114,236,217
1997,45,246,120,161
1998,62,321,287,170
1999,124,171,109,159
2000,68,109,130,77
2001,182,133,203,56
2002,51,119,189,126
2003,64,91,117,140
2004,137,139,266,134
2005,108,228,215,123
2006,175,174,205,56
2007,136,133,209,154
2008,110,301,233,121
2009,121,151,81,288
2010,135,311,352,193
2011,101,123,145,92
2012,77,189,66,138
2013,278,233,106,63
2014,94,83,208,191
2015,93,174,111,154
2016,174,194,143,189
