year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,66,-150,-222,69
1988,203,-178,-172,28
1989,-40,-33,-89,5
1990,-18,-214,-224,201
1991,-27,-181,-91,72
1992,155,-228,-216,104
1993,-5,-175,-111,69
1994,33,-154,-256,72
1995,151,-69,-204,76
1996,35,-221,-33,149
1997,-29,-43,-166,86
1998,-17,35,-17,109
1999,39,-155,-238,87
2000,-16,-293,-228,-21
2001,88,-218,-136,-17
2002,-53,-256,-175,43
2003,-16,-306,-262,67
2004,64,-167,-40,71
2005,43,-81,-75,58
2006,114,-120,-113,-13
2007,30,-251,-155,83
2008,14,-29,-92,35
2009,48,-203,-272,217
2010,56,22,47,119
2011,25,-227,-200,15
2012,-24,-150,-319,48
2013,193,-81,-233,-27
2014,-17,-260,-120,103
2015,-1,-150,-250,80
2016,86,-136,-197,124
