year,annual-estival-days
1987,71
1988,65
1989,58
1990,67
1991,65
1992,90
1993,75
1994,97
1995,81
1996,63
1997,71
1998,61
1999,98
2000,89
2001,67
2002,96
2003,102
2004,66
2005,68
2006,68
2007,90
2008,82
2009,109
2010,70
2011,109
2012,111
2013,94
2014,94
2015,93
2016,100

min,16
max,130
steps,9
decimal
