year,A1,A2,A3
,label A1,label A2,label A3
1987,9,2362,64
1988,19,2573,138
1989,19,2658,126
1990,9,2595,66
1991,6,2732,60
1992,8,2452,50
1993,11,2322,115
1994,3,2557,58
1995,13,2381,99
1996,21,2377,170
1997,14,2659,119
1998,12,2563,93
1999,6,2556,76
2000,10,2428,89
2001,9,2662,71
2002,6,2507,67
2003,14,2575,81
2004,3,2456,33
2005,19,2352,120
2006,1,2615,27
2007,14,2880,99
2008,6,2690,64
2009,15,2533,112
2010,16,2373,112
2011,7,2784,52
2012,18,2463,138
2013,16,2534,96
2014,11,2512,78
2015,6,2732,58
2016,7,2704,73
2016
2017,30,2396,186
2018,18,2224,142
2019,38,2250,225
2020,8,2332,103
2021,20,2256,195
2022,8,1992,91
2023,18,2158,147
2024,12,2479,123
2025,24,2201,166
2026,13,2295,144
2027,31,2338,254
2028,19,2389,146
2029,15,2162,136
2030,17,2548,125
2031,20,2364,141
2032,23,2345,164
2033,22,2042,134
2034,23,2265,176
2035,17,2246,107
2036,22,2306,158
2037,23,2388,136
2038,22,2334,170
2039,16,2106,106
2040,20,2297,134
2041,18,2352,132
2042,8,2325,79
2043,26,2385,193
2044,27,2260,186
2045,24,2190,181
2046,2,2434,63
