year,annual-hydric-deficit
1987,139
1988,209
1989,-131
1990,-228
1991,-124
1992,-187
1993,-115
1994,-104
1995,-129
1996,-370
1997,-246
1998,-79
1999,-32
2000,64
2001,-39
2002,-64
2003,-391
2004,-181
2005,-235
2006,-163
2007,11
2008,-157
2009,-212
2010,-223
2011,-296
2012,-140
2013,-94
2014,24
2015,-185
2016,-12
