year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,66,-21,-36,130
1988,222,-101,-42,130
1989,106,-94,-213,70
1990,57,-116,-261,93
1991,83,-118,-178,88
1992,-11,-120,-182,126
1993,-1,-41,-160,87
1994,63,-119,-106,58
1995,155,-152,-125,-7
1996,6,-211,-244,79
1997,-20,-69,-242,86
1998,-5,-83,-157,167
1999,31,-105,-110,151
2000,5,-78,-99,235
2001,156,-184,-92,82
2002,73,-144,-161,169
2003,5,-188,-308,99
2004,39,-166,-152,97
2005,18,-138,-169,54
2006,106,-138,-191,59
2007,69,-112,-62,117
2008,76,-127,-206,100
2009,21,-92,-237,97
2010,41,-208,-169,113
2011,7,-267,-133,97
2012,-35,-53,-215,163
2013,44,-100,-174,137
2014,37,-94,-34,115
2015,46,-160,-142,71
2016,120,62,-255,61
