year,winter-soft-wheat,winter-barley,triticale,rye,maize-for-grain,winter-rapeseed,sunflower,soybean,spring-field-peas,broad-bean,potatoes,sugar-beet,maize-silage,temporary-grasslands,permanent-grasslands
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha
2000,81,69,60,53,99,28,27,,43,36,407,858,145,80,54
2001,72,64,56,52,81,28,24,22,33,40,392,710,135,84,67
2002,78,75,64,59,85,34,28,20,52,38,406,750,125,84,67
2003,63,58,58,58,67,33,23,21,46,32,317,600,95,58,39
2004,80,76,69,65,92,37,28,22,49,41,350,750,130,84,56
2005,76,75,55,60,86,39,30,,45,38,325,770,125,81,55
2006,72,72,65,60,90,29,22,,43,35,450,700,100,65,40
2007,76,70,65,70,99,32,28,,47,59,490,850,100,107,65
2008,82,81,70,65,96,36,30,,48,54,450,850,100,110,65
2009,84,77,72,81,88,42,34,,52,51,450,980,100,110,65
2010,76,73,60,70,95,37,32,,50,33,421,959,100,79,48
2011,69,64,55,60,105,37,30,28,36,32,469,1097,100,70,42
2012,81,79,60,48,92,39,30,28,45,43,439,923,100,69,41
2013,83,72,65,65,97,33,29,28,47,39,454,910,100,77,45
2014,83,79,65,65,108,38,30,28,42,40,494,950,110,106,62
2015,87,85,65,62,84,38,25,28,47,26,474,810,88,100,58
2016,50,54,25,30,67,29,25,28,25,26,465,780,85,92,53
2017,80,77,60,60,106,40,30,28,44,26,523,950,96,102,60
