year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,1.7,12.3,17.2,7.4
1988,5.9,12.9,16.4,8.1
1989,6.3,13.2,18.1,8.0
1990,7.6,12.9,18.0,7.9
1991,4.6,11.3,18.4,6.7
1992,5.4,13.9,18.2,7.4
1993,5.6,14.2,15.9,6.6
1994,6.4,12.8,17.8,9.3
1995,6.5,12.4,18.5,8.1
1996,4.0,12.4,16.6,6.7
1997,5.5,12.8,18.5,8.4
1998,6.2,13.5,17.2,7.2
1999,6.3,13.7,18.9,7.7
2000,6.1,13.7,17.3,8.8
2001,6.2,13.4,17.6,8.3
2002,7.3,13.5,17.3,9.2
2003,5.4,14.8,19.5,7.6
2004,5.7,13.4,18.2,7.7
2005,5.2,14.0,18.0,8.4
2006,3.9,13.8,19.4,9.6
2007,7.5,15.2,16.5,7.3
2008,6.5,13.8,17.0,7.2
2009,4.0,14.0,18.4,8.6
2010,3.9,13.3,17.9,6.0
2011,6.4,15.0,17.5,9.7
2012,5.6,12.9,17.5,8.5
2013,3.5,12.2,18.5,8.8
2014,7.5,13.7,17.8,9.6
2015,5.1,13.9,18.0,10.3
2016,5.8,13.1,19.3,7.5
