year,V1,V2,V3,V9
,label V1,label V2,label V3,label V9
1987,1367,10,-253,4
1988,1459,12,-358,4
1989,1524,12,-276,0
1990,1331,11,-340,1
1991,1227,12,-350,10
1992,1173,10,-213,1
1993,1474,11,-376,4
1994,1390,12,-394,2
1995,1274,12,-236,6
1996,1558,12,-512,0
1997,1374,11,-370,3
1998,1251,10,-251,0
1999,1215,10,-373,5
2000,1375,12,-466,7
2001,1256,9,-322,2
2002,1263,10,-247,2
2003,1114,9,-250,7
2004,1246,11,-296,0
2005,1407,10,-290,2
2006,1231,11,-160,2
2007,1323,11,-238,4
2008,1357,11,-304,1
2009,1429,10,-362,1
2010,1587,11,-318,2
2011,1231,10,-147,4
2012,1540,12,-230,4
2013,1390,12,-214,3
2014,1401,11,-252,1
2015,1280,12,-246,1
2016,1212,12,-318,5
2016
2017,1560,14,-352,2
2018,1575,11,-378,1
2019,1647,12,-338,0
2020,1590,13,-284,0
2021,1733,12,-541,0
2022,1595,12,-289,0
2023,1739,11,-439,0
2024,1401,12,-329,0
2025,1678,13,-328,1
2026,1536,12,-426,1
2027,1848,13,-516,0
2028,1587,13,-321,10
2029,1551,12,-412,3
2030,1369,12,-473,1
2031,1462,12,-181,2
2032,1601,12,-366,0
2033,1554,11,-277,0
2034,1724,13,-389,0
2035,1309,11,-298,2
2036,1566,13,-346,3
2037,1510,11,-254,4
2038,1765,12,-326,0
2039,1471,11,-298,1
2040,1576,12,-361,0
2041,1700,12,-371,0
2042,1381,11,-279,0
2043,1752,12,-349,0
2044,1633,12,-416,7
2045,1614,12,-348,0
2046,1384,11,-343,2
