year,F1,F3,M4
,label F1,label F3,label M4
1987,51,129,1
1988,59,135,0
1989,51,141,2
1990,49,134,0
1991,36,125,1
1992,52,130,0
1993,43,139,2
1994,50,124,4
1995,50,139,2
1996,58,125,2
1997,29,127,0
1998,47,125,0
1999,63,131,3
2000,57,138,1
2001,59,131,2
2002,39,124,1
2003,38,125,2
2004,48,122,4
2005,52,129,1
2006,46,130,0
2007,54,137,2
2008,53,140,1
2009,51,128,1
2010,36,143,1
2011,44,133,2
2012,41,124,1
2013,56,135,3
2014,32,121,1
2015,51,134,1
2016,47,131,2
2016
2017,36,128,3
2018,45,132,5
2019,49,132,1
2020,31,130,5
2021,37,117,1
2022,47,131,1
2023,36,127,7
2024,67,140,2
2025,31,123,3
2026,29,125,2
2027,42,140,1
2028,25,129,0
2029,46,124,3
2030,44,123,3
2031,44,137,2
2032,40,125,1
2033,33,134,1
2034,51,131,2
2035,39,130,1
2036,40,128,1
2037,31,123,2
2038,26,137,3
2039,43,125,3
2040,59,141,1
2041,47,126,3
2042,36,131,2
2043,24,130,2
2044,39,132,1
2045,46,128,0
2046,48,126,2
