year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,53,-49,-83,222
1988,220,-132,-74,46
1989,95,-101,-246,179
1990,164,-150,-235,122
1991,101,-23,-124,58
1992,-7,-119,-32,107
1993,-11,-101,-93,152
1994,55,-109,-141,112
1995,138,-219,-220,62
1996,43,-191,-201,62
1997,-14,-172,-190,54
1998,-8,-51,-182,138
1999,7,-142,-136,50
2000,-8,-61,-91,252
2001,162,-153,-121,84
2002,49,-100,-167,231
2003,3,-201,-305,98
2004,10,-142,-169,70
2005,-46,-232,-201,43
2006,0,-168,-193,138
2007,66,-135,-122,83
2008,28,-114,-118,74
2009,63,-220,-139,168
2010,114,-251,-159,57
2011,50,-169,-83,30
2012,-18,13,-96,219
2013,45,-149,-238,113
2014,155,-112,-119,177
2015,60,-206,-72,75
2016,99,-10,-186,60
