year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,3.1,11.8,15.9,7.8
1988,5.8,11.9,15.4,8.1
1989,6.7,12.2,17.7,8.3
1990,7.7,12.1,17.1,8.2
1991,4.6,10.7,17.3,7.3
1992,6.5,14.3,17.0,7.5
1993,6.7,13.8,15.8,7.6
1994,6.8,11.9,17.0,9.8
1995,7.0,13.4,19.1,9.0
1996,4.8,12.5,17.4,8.0
1997,6.8,13.5,18.8,9.5
1998,8.4,13.7,17.6,8.9
1999,7.7,14.1,18.9,9.3
2000,7.9,13.8,17.7,9.3
2001,5.9,13.1,17.7,9.3
2002,8.1,13.4,17.7,9.6
2003,6.7,14.3,19.0,9.0
2004,7.2,14.5,18.5,9.6
2005,7.2,14.3,18.3,9.7
2006,5.8,14.5,19.9,11.0
2007,8.5,15.1,17.2,9.5
2008,8.0,14.2,17.6,8.7
2009,6.5,14.9,18.3,9.8
2010,4.6,13.4,17.3,6.4
2011,7.0,14.5,16.9,10.5
2012,7.3,12.6,16.9,8.3
2013,4.2,12.0,18.0,9.5
2014,8.1,14.1,17.7,10.1
2015,6.3,13.4,16.8,11.6
2016,6.8,13.3,18.7,8.9
