year,A1,A2,A3
,label A1,label A2,label A3
1987,0,2870,18
1988,3,2936,40
1989,4,2960,38
1990,16,3005,94
1991,5,3027,38
1992,12,2702,62
1993,3,2993,42
1994,6,2922,66
1995,6,3077,45
1996,3,2950,48
1997,2,2841,37
1998,8,2849,46
1999,3,2727,63
2000,7,2752,62
2001,18,2822,86
2002,11,2894,81
2003,7,3132,76
2004,6,3014,66
2005,8,3084,74
2006,8,3013,64
2007,8,3121,57
2008,1,2497,23
2009,7,2595,30
2010,4,2914,30
2011,4,3008,39
2012,3,2742,42
2013,7,2813,63
2014,9,2782,80
2015,18,3063,116
2016,10,2976,66
2016
2017,11,2640,72
2018,2,2992,38
2019,18,2500,114
2020,10,2776,76
2021,5,2604,64
2022,12,2919,101
2023,8,2488,83
2024,9,2507,82
2025,10,2522,77
2026,4,2619,43
2027,4,2605,47
2028,13,2666,69
2029,10,2477,84
2030,6,2568,68
2031,7,2532,72
2032,3,2733,31
2033,12,2625,90
2034,5,2623,63
2035,4,2755,46
2036,4,2572,50
2037,25,2357,152
2038,8,2530,83
2039,9,2335,67
2040,12,2540,88
2041,11,2603,97
2042,15,2572,104
2043,6,2383,46
2044,10,2349,76
2045,26,2364,145
2046,4,2720,45
