year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,-0.3,11.2,15.6,7.0
1988,4.8,12.5,15.5,7.2
1989,6.0,12.8,17.3,7.3
1990,7.1,12.9,16.2,7.2
1991,3.7,10.8,17.9,6.3
1992,4.9,14.1,17.6,6.4
1993,4.0,14.1,14.9,5.4
1994,4.2,12.4,17.8,7.9
1995,4.7,12.3,18.1,6.1
1996,0.6,11.9,15.6,5.4
1997,4.2,12.2,17.7,6.7
1998,6.1,13.6,16.1,5.7
1999,4.9,13.1,18.5,7.1
2000,5.6,13.9,16.5,8.2
2001,3.8,12.4,17.1,7.9
2002,5.9,13.4,17.5,6.3
2003,3.6,14.0,18.0,6.4
2004,4.1,12.5,17.1,6.7
2005,4.2,12.8,16.4,7.8
2006,2.1,13.2,18.8,9.7
2007,6.6,14.6,16.0,6.5
2008,5.6,13.1,16.6,6.3
2009,3.1,13.8,17.1,7.0
2010,1.9,11.7,16.6,4.3
2011,4.1,14.1,16.3,7.9
2012,4.2,12.5,16.5,7.1
2013,1.5,11.7,16.9,8.1
2014,6.7,13.4,17.3,8.8
2015,4.3,11.9,17.0,9.5
2016,4.3,13.4,17.8,6.4
