year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,128,-16,44,181
1988,208,-199,30,139
1989,91,-150,-55,94
1990,121,-99,-51,154
1991,21,-46,-174,166
1992,121,-183,-69,164
1993,84,-74,125,281
1994,199,-34,-36,260
1995,239,-49,-97,23
1996,2,-163,41,161
1997,71,-50,-40,109
1998,86,43,27,288
1999,145,-57,-45,165
2000,204,-105,40,99
2001,142,-105,-4,133
2002,138,-83,-103,156
2003,21,-99,-152,109
2004,159,-68,73,118
2005,88,-61,3,67
2006,108,-147,-77,155
2007,168,-87,-21,131
2008,141,-180,-32,136
2009,103,-148,-40,180
2010,98,-158,124,107
2011,61,-126,129,132
2012,45,-72,-37,187
2013,51,-94,-68,226
2014,40,-17,-74,109
2015,164,-171,6,149
2016,138,-86,-148,87
