year,C1,C2,C3,C12,M1,M2,M8,Co2,Co3
,label C1,label C2,label C3,label C12,label M1,label M2,label M8,label Co2,label Co3
1987,1,4,-99,3,0,-192,58,22,113
1988,3,2,-131,3,0,-85,64,25,124
1989,8,6,-85,5,0,-155,65,34,126
1990,4,15,-56,4,1,-175,61,25,78
1991,4,3,-96,6,1,-189,80,28,70
1992,5,8,0,5,0,-149,74,21,107
1993,3,3,24,2,0,-89,78,20,99
1994,2,1,-125,6,3,-292,75,39,108
1995,7,2,-33,5,0,-117,69,39,186
1996,6,5,-50,3,0,-233,64,36,56
1997,9,2,-94,5,0,-248,63,16,42
1998,9,3,-16,2,0,-56,69,23,80
1999,4,0,-49,3,0,-131,55,14,102
2000,8,0,-91,2,0,-188,55,29,155
2001,14,0,62,4,0,23,77,18,122
2002,7,1,-23,2,0,-106,65,22,106
2003,13,5,-29,1,2,-71,62,37,96
2004,2,0,-47,4,0,-146,57,26,100
2005,2,2,-115,8,0,-275,63,16,75
2006,10,6,44,5,0,-26,56,23,91
2007,5,6,7,5,0,-81,78,24,73
2008,3,2,3,3,0,-124,54,3,124
2009,0,3,13,5,0,-105,71,16,71
2010,2,7,-57,4,1,-78,83,27,120
2011,8,2,-73,5,0,-183,62,25,85
2012,9,3,-23,3,0,-84,65,18,91
2013,4,0,-56,5,1,-167,67,21,104
2014,8,8,-25,5,0,-123,66,23,126
2015,8,4,0,3,0,-47,69,37,96
2016,0,2,-65,5,1,-154,78,25,134
2016
2017,9,3,-19,3,0,-100,59,15,65
2018,1,11,-14,2,0,-59,67,21,40
2019,18,3,-119,4,0,-229,51,21,74
2020,7,4,-44,2,0,-134,65,22,71
2021,10,3,-87,4,0,-204,69,10,116
2022,17,4,-88,3,0,-211,63,24,85
2023,13,9,-164,3,0,-248,58,13,106
2024,6,5,-109,5,1,-232,72,5,107
2025,7,0,-10,2,0,-82,57,9,98
2026,7,3,-82,4,0,-192,70,3,88
2027,7,1,-50,4,0,-163,59,19,132
2028,6,3,10,0,0,-18,79,16,96
2029,17,7,-122,4,1,-250,55,16,97
2030,14,5,-101,4,2,-237,54,12,87
2031,10,7,-27,3,0,-121,55,13,109
2032,8,9,16,0,0,-13,67,8,135
2033,15,2,-91,3,1,-130,48,26,135
2034,10,1,-44,6,0,-219,66,10,64
2035,4,8,-40,6,0,-209,75,22,64
2036,9,5,46,0,0,-31,61,5,90
2037,25,3,-66,5,3,-266,50,5,60
2038,7,6,-74,4,0,-183,65,16,61
2039,2,3,-45,3,0,-115,70,7,120
2040,14,7,-54,2,1,-105,57,12,114
2041,21,6,-105,6,0,-259,44,18,102
2042,13,2,-35,2,0,-53,57,10,132
2043,2,3,-46,3,0,-183,70,3,59
2044,14,0,-106,5,1,-220,59,13,89
2045,22,3,-98,5,1,-91,52,9,88
2046,5,0,-58,4,0,-101,74,9,156
