year,annual-estival-days
1987,132
1988,105
1989,126
1990,134
1991,120
1992,117
1993,101
1994,117
1995,138
1996,114
1997,123
1998,113
1999,134
2000,135
2001,132
2002,129
2003,145
2004,137
2005,134
2006,144
2007,121
2008,110
2009,137
2010,122
2011,156
2012,139
2013,128
2014,155
2015,133
2016,134

min,88
max,160
steps,10
decimal
