year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,-19,-428,-435,77
1988,-113,-166,-511,0
1989,-91,-266,-521,70
1990,-117,-372,-448,-22
1991,-12,-399,-427,-9
1992,-86,-191,-477,-31
1993,-134,-229,-485,-4
1994,-108,-391,-495,-11
1995,-132,-424,-519,17
1996,-17,-308,-445,73
1997,-96,-256,-435,125
1998,-52,-232,-449,-106
1999,-127,-389,-475,41
2000,-118,-294,-515,98
2001,25,-406,-493,-25
2002,-50,-358,-497,61
2003,-38,-432,-527,116
2004,0,-294,-474,-15
2005,-102,-455,-544,36
2006,-43,-407,-549,110
2007,-108,-291,-516,-115
2008,-89,-228,-455,-26
2009,-116,-480,-558,-54
2010,114,-294,-450,40
2011,-67,-348,-509,-64
2012,-127,-356,-439,-1
2013,19,-308,-490,-29
2014,-20,-412,-470,20
2015,-95,-412,-525,-54
2016,-133,-354,-588,-42
