year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,133,57,102,197
1988,62,204,34,129
1989,68,162,21,222
1990,50,58,87,122
1991,120,41,74,108
1992,67,212,29,94
1993,18,159,8,108
1994,46,40,12,104
1995,51,53,26,166
1996,139,124,53,209
1997,83,165,60,263
1998,113,174,101,32
1999,36,82,70,168
2000,48,137,34,239
2001,184,58,41,109
2002,109,104,29,204
2003,122,50,48,247
2004,144,131,63,134
2005,61,33,17,177
2006,111,79,13,254
2007,50,110,2,15
2008,70,165,37,95
2009,56,19,19,116
2010,247,119,48,165
2011,74,110,17,73
2012,39,86,86,119
2013,152,100,23,100
2014,139,52,35,162
2015,74,80,40,88
2016,51,104,20,108
