year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,52,38,-71,92
1988,197,-94,-15,122
1989,-41,-57,-127,47
1990,55,-100,-103,153
1991,55,-74,-109,90
1992,19,-36,-40,141
1993,7,-110,-77,153
1994,10,12,25,21
1995,41,-22,-44,51
1996,-17,-55,-84,81
1997,33,-84,-95,56
1998,171,96,199,324
1999,316,469,112,309
2000,319,-13,467,219
2001,296,258,239,225
2002,97,216,469,449
2003,32,-194,-152,132
2004,98,-158,-118,101
2005,53,-84,-29,45
2006,37,-108,1,44
2007,81,-65,-114,58
2008,-1,-1,-74,77
2009,51,-40,-87,106
2010,-2,-124,-63,100
2011,-23,-172,-92,75
2012,-16,-99,-129,168
2013,38,0,-126,103
2014,-6,-170,71,77
2015,15,-120,-250,53
2016,62,-19,-192,50
