year,F1,F3,M4
,label F1,label F3,label M4-LCF
1987,72,135,0
1988,70,138,0
1989,71,137,1
1990,59,141,0
1991,89,146,0
1992,72,142,0
1993,103,143,0
1994,43,126,1
1995,64,125,0
1996,73,136,0
1997,91,145,0
1998,77,141,0
1999,86,145,0
2000,73,126,0
2001,63,151,0
2002,51,137,0
2003,58,135,1
2004,91,137,0
2005,33,141,0
2006,75,131,0
2007,83,135,0
2008,83,148,0
2009,78,133,1
2010,69,142,1
2011,78,144,0
2012,75,134,0
2013,64,124,1
2014,85,137,0
2015,84,135,1
2016,89,146,0
2016
2017,75,133,0
2018,59,132,0
2019,39,130,0
2020,64,127,2
2021,87,130,0
2022,67,122,0
2023,59,132,0
2024,66,129,1
2025,73,137,1
2026,70,125,0
2027,66,121,2
2028,51,129,0
2029,65,138,0
2030,79,139,1
2031,81,141,0
2032,73,138,0
2033,84,153,0
2034,88,133,0
2035,92,147,0
2036,73,138,0
2037,58,147,0
2038,81,146,0
2039,84,135,0
2040,55,141,0
2041,71,135,0
2042,42,133,0
2043,67,145,1
2044,72,140,1
2045,74,132,0
2046,50,138,1

min,,90,0
max,,190,6
steps,,11,7
decimal
