year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,-1.0,11.3,17.2,5.7
1988,3.1,12.9,16.4,5.9
1989,4.5,12.4,17.1,5.1
1990,4.8,12.7,16.7,5.1
1991,1.9,10.9,18.4,3.8
1992,3.1,13.2,18.2,5.3
1993,2.6,14.2,16.4,4.7
1994,4.6,12.9,18.6,7.5
1995,3.6,12.5,17.7,5.4
1996,0.3,12.7,15.5,4.6
1997,3.3,12.4,17.6,5.5
1998,3.7,13.7,16.8,4.4
1999,2.8,13.2,18.2,4.7
2000,3.6,14.5,16.7,6.9
2001,3.9,12.8,16.8,5.5
2002,4.1,13.7,16.7,6.5
2003,1.9,15.3,19.0,4.7
2004,2.2,12.9,17.8,5.4
2005,2.0,14.1,17.2,5.6
2006,0.5,13.6,18.8,8.2
2007,5.6,15.6,16.6,4.8
2008,4.6,14.3,16.7,5.5
2009,1.3,14.8,18.3,6.1
2010,1.6,13.1,17.3,4.3
2011,3.8,15.1,18.0,6.7
2012,3.0,14.1,18.2,6.3
2013,1.2,12.8,18.2,6.7
2014,5.6,14.3,17.4,8.0
2015,3.3,13.9,19.2,8.2
2016,4.3,13.5,19.1,5.4
