year,A1,A2,A3
,label A1,label A2,label A3
1987,28,3201,185
1988,15,3005,110
1989,18,2996,109
1990,13,3003,92
1991,3,3359,52
1992,37,3045,218
1993,12,3266,132
1994,42,2714,307
1995,7,2907,71
1996,20,3176,182
1997,17,3271,132
1998,27,3094,182
1999,23,3230,190
2000,8,3072,84
2001,6,3228,57
2002,4,3176,49
2003,3,2778,77
2004,11,3201,89
2005,23,2804,183
2006,26,2918,195
2007,8,3384,79
2008,1,3195,47
2009,12,3381,92
2010,16,3181,123
2011,15,2979,100
2012,33,2979,226
2013,23,2813,182
2014,13,3000,123
2015,6,3067,88
2016,0,3365,17
2016
2017,33,2725,214
2018,20,2576,148
2019,19,2525,155
2020,31,2549,226
2021,18,2941,188
2022,28,2786,198
2023,15,2691,147
2024,11,2662,127
2025,18,2727,133
2026,11,2640,120
2027,43,2456,327
2028,46,2627,263
2029,36,2871,317
2030,20,2644,173
2031,6,2995,77
2032,19,2933,162
2033,15,2975,135
2034,43,2896,309
2035,31,3214,211
2036,36,2786,222
2037,19,2926,115
2038,30,2973,200
2039,37,2945,244
2040,21,2802,152
2041,28,2770,207
2042,32,2628,207
2043,26,2914,171
2044,20,2894,138
2045,22,2703,165
2046,25,2888,180

min,,2000
max,,4000
steps,,9
decimal
