year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,115,282,214,157
1988,271,181,271,185
1989,48,227,169,110
1990,151,196,257,188
1991,116,162,238,132
1992,98,254,251,202
1993,91,182,205,219
1994,101,280,331,97
1995,141,231,244,111
1996,53,215,181,149
1997,119,198,196,128
1998,117,155,205,309
1999,186,197,151,240
2000,220,102,268,147
2001,299,192,205,244
2002,268,200,223,298
2003,147,108,115,178
2004,170,141,201,166
2005,136,218,254,112
2006,108,190,310,119
2007,179,273,175,132
2008,108,301,211,145
2009,121,259,217,176
2010,86,151,233,168
2011,66,155,203,151
2012,81,196,176,232
2013,104,255,191,168
2014,91,133,331,147
2015,104,176,90,123
2016,150,241,124,104
