year,annual-estival-days
1987,27
1988,24
1989,31
1990,31
1991,35
1992,40
1993,33
1994,47
1995,39
1996,27
1997,39
1998,28
1999,37
2000,34
2001,39
2002,34
2003,82
2004,40
2005,43
2006,53
2007,40
2008,38
2009,43
2010,40
2011,44
2012,46
2013,42
2014,29
2015,56
2016,50

min,16
max,130
steps,9
decimal
