year,C1,C2,C3,C12,M1,M2,M8,Co2,Co3
,label C1,label C2-LCF,label C3,label C12,label M1-LCF,label M2,label M8,label Co2,label Co3
1987,7,17,-47,5,2,-183,57,24,126
1988,13,48,-64,3,18,-105,63,33,209
1989,7,31,-16,1,3,-89,59,25,193
1990,6,38,-75,3,5,-213,65,39,176
1991,0,31,-72,4,5,-119,79,40,196
1992,4,44,-40,4,10,-115,67,32,136
1993,14,34,-164,4,9,-321,61,38,229
1994,13,22,-161,7,10,-291,60,36,146
1995,8,47,-64,5,11,-152,61,37,172
1996,13,29,-167,5,14,-395,59,27,93
1997,10,32,-15,3,6,-193,62,48,162
1998,24,21,-12,3,10,-78,50,29,170
1999,14,43,-114,2,10,-252,54,32,145
2000,3,37,-127,2,3,-193,66,28,173
2001,2,20,-63,3,8,-139,77,41,148
2002,19,20,-112,4,7,-154,64,35,202
2003,13,40,-87,1,4,-116,50,38,176
2004,1,39,-49,2,4,-99,74,29,209
2005,30,22,-144,3,11,-169,58,49,237
2006,15,19,-5,4,10,-142,45,40,151
2007,8,27,15,1,5,20,60,46,138
2008,17,22,-119,4,11,-265,57,53,149
2009,9,24,-67,3,5,-120,56,34,130
2010,5,10,56,3,0,-31,62,34,180
2011,0,33,51,4,4,-39,77,30,158
2012,21,21,-113,2,10,-176,46,47,216
2013,8,24,-164,4,1,-207,61,34,161
2014,16,50,-82,3,9,-242,44,40,146
2015,14,30,-106,5,19,-284,56,47,175
2016,12,17,-1,3,14,-110,77,54,139
2016
2017,6,37,3,3,7,-188,66,20,169
2018,22,28,3,4,20,-154,61,41,157
2019,21,16,-67,3,11,-158,59,18,85
2020,25,15,-89,4,23,-227,62,33,141
2021,29,17,-68,4,10,-250,43,27,80
2022,26,25,-114,2,23,-127,47,30,206
2023,23,19,-129,3,18,-285,59,28,128
2024,22,24,-152,5,14,-349,54,28,106
2025,25,21,-112,5,12,-266,41,24,82
2026,27,24,-75,1,12,-151,55,27,237
2027,16,16,-18,1,20,-95,62,14,281
2028,26,11,-7,3,30,-164,47,35,141
2029,28,9,-62,3,23,-217,43,23,185
2030,26,13,-23,5,9,-222,56,15,136
2031,17,14,-89,5,14,-266,55,15,114
2032,31,11,-22,2,17,-218,39,25,84
2033,25,13,-76,5,11,-207,49,20,145
2034,14,10,-23,3,4,-127,58,35,86
2035,22,18,20,2,9,-45,47,20,184
2036,14,21,-77,3,8,-126,58,26,205
2037,19,9,30,4,14,-164,49,17,116
2038,40,19,-79,1,21,-152,34,23,121
2039,33,20,-72,4,24,-151,46,15,246
2040,12,35,-79,6,7,-157,57,33,148
2041,1,7,-76,2,9,-160,56,25,89
2042,19,6,0,3,25,-191,56,29,128
2043,36,8,-87,4,15,-141,43,44,257
2044,15,19,-57,2,16,-172,60,26,116
2045,19,25,-110,2,12,-146,42,20,154
2046,13,12,-56,5,4,-206,47,14,78

min,,,,,,,10
max,,,,,,,90
steps,,,,,,,9
decimal
