year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,1.7,12.7,17.9,7.6
1988,6.0,13.8,17.0,8.1
1989,6.5,13.7,18.6,8.1
1990,7.6,13.4,18.2,7.9
1991,4.8,11.7,19.0,6.7
1992,4.9,13.6,18.0,6.8
1993,4.7,14.2,16.2,6.0
1994,6.1,13.2,18.5,9.3
1995,6.0,13.0,18.8,8.2
1996,3.8,13.2,16.8,6.5
1997,5.3,13.3,19.0,8.2
1998,6.1,14.1,17.6,6.7
1999,6.0,14.3,19.2,7.3
2000,5.8,14.1,17.5,8.9
2001,6.4,13.8,17.7,8.2
2002,7.3,14.2,17.6,9.1
2003,5.3,15.4,20.0,7.6
2004,5.6,13.7,18.7,7.7
2005,5.1,14.8,18.5,8.2
2006,3.7,14.2,19.8,9.6
2007,7.4,15.8,16.8,7.1
2008,6.4,14.1,17.2,7.0
2009,3.8,14.4,18.8,8.4
2010,3.7,13.6,18.1,6.0
2011,6.1,15.5,17.9,9.5
2012,5.4,13.4,18.0,8.4
2013,3.3,12.3,18.5,8.4
2014,7.2,14.0,17.7,9.4
2015,4.7,14.0,18.3,10.0
2016,5.6,13.2,19.1,7.1
