year,A1,A2,A3
,label A1,label A2,label A3
1987,8,2621,72
1988,11,2678,101
1989,26,2522,166
1990,32,2642,219
1991,21,2589,173
1992,14,2552,82
1993,14,2496,126
1994,7,2415,105
1995,18,2394,118
1996,19,2629,164
1997,7,2499,88
1998,11,2481,102
1999,15,2618,121
2000,18,2394,158
2001,9,2590,55
2002,20,2401,139
2003,18,2642,119
2004,9,2721,91
2005,8,2541,72
2006,18,2522,150
2007,15,2627,121
2008,23,2453,150
2009,31,2459,179
2010,16,2417,116
2011,19,2398,129
2012,14,2465,108
2013,7,2256,77
2014,21,2555,151
2015,17,2551,128
2016,10,2405,91
2016
2017,35,2265,196
2018,18,2132,150
2019,11,2225,88
2020,21,1849,153
2021,25,2131,202
2022,32,2167,182
2023,27,2341,201
2024,3,2187,51
2025,50,2202,320
2026,34,2059,269
2027,44,2010,329
2028,21,2399,170
2029,32,2151,243
2030,30,2149,249
2031,33,2179,207
2032,28,2182,204
2033,21,2026,154
2034,30,2063,186
2035,33,2341,193
2036,33,2118,242
2037,22,2247,174
2038,29,2525,223
2039,14,2298,124
2040,21,2247,161
2041,23,2121,196
2042,36,2528,239
2043,39,2076,249
2044,28,2243,186
2045,33,2290,206
2046,53,2303,357
