year,F1,F3,M4
,label F1,label F3,label M4
1987,52,126,3
1988,57,131,3
1989,27,130,0
1990,43,135,2
1991,47,127,2
1992,46,130,1
1993,49,122,1
1994,34,117,1
1995,27,120,1
1996,45,128,1
1997,41,130,2
1998,50,130,1
1999,60,125,0
2000,55,129,5
2001,44,125,4
2002,56,128,2
2003,58,129,3
2004,59,134,2
2005,55,122,1
2006,51,126,2
2007,57,130,1
2008,48,129,0
2009,53,116,2
2010,29,125,3
2011,56,119,3
2012,54,128,3
2013,45,112,1
2014,57,127,3
2015,53,129,2
2016,37,122,1
2016
2017,34,115,3
2018,23,113,3
2019,36,120,3
2020,24,111,3
2021,42,115,2
2022,39,118,6
2023,39,121,2
2024,39,120,1
2025,30,128,3
2026,22,116,3
2027,40,112,2
2028,47,123,3
2029,25,115,3
2030,28,124,5
2031,54,125,3
2032,19,122,5
2033,28,124,3
2034,30,113,4
2035,49,122,2
2036,46,121,3
2037,40,124,5
2038,49,132,1
2039,35,118,1
2040,52,118,2
2041,27,120,4
2042,34,123,2
2043,42,116,4
2044,56,128,4
2045,38,125,2
2046,35,124,1

min,,80,0
max,,170,8
steps,,10,9
decimal
