year,winter-soft-wheat,winter-barley,triticale,rye,maize-for-grain,winter-rapeseed,sunflower,soybean,spring-field-peas,broad-bean,potatoes,sugar-beet,maize-silage,temporary-grasslands,permanent-grasslands
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha
2000,82,74,50,75,100,30,32,20,45,42,401,770,100,74,43
2001,75,65,30,65,91,28,22,26,42,38,401,620,105,80,51
2002,85,75,60,65,89,33,25,26,53,50,401,740,130,89,51
2003,69,58,51,60,74,33,29,22,48,42,333,640,80,52,30
2004,90,77,69,65,96,40,28,30,56,54,442,760,145,93,65
2005,80,75,60,62,100,40,34,30,44,39,431,780,150,84,62
2006,76,70,65,55,92,31,22,22,44,41,450,725,120,71,45
2007,78,68,65,70,107,32,28,28,47,59,470,850,120,107,78
2008,82,77,70,66,95,36,30,28,50,53,431,850,120,110,78
2009,89,79,72,81,97,42,34,,53,54,432,907,120,110,78
2010,83,75,74,70,108,37,32,28,50,32,413,863,120,80,58
2011,80,69,60,60,110,37,32,28,40,49,460,987,120,72,51
2012,81,78,64,70,96,40,30,28,42,52,432,861,120,71,50
2013,84,74,65,65,98,34,29,28,46,37,447,830,120,77,55
2014,88,81,65,65,108,41,30,28,42,39,490,920,130,106,76
2015,89,85,65,66,86,38,24,28,43,25,470,820,104,100,71
2016,40,54,25,30,71,30,20,28,20,23,463,740,100,92,65
2017,81,74,60,65,114,42,34,28,45,32,503,915,116,103,73
