year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,54,-43,-60,112
1988,207,-123,-67,121
1989,92,-110,-217,59
1990,53,-131,-260,93
1991,75,-138,-204,79
1992,-9,-119,-183,132
1993,1,-57,-169,92
1994,87,-113,-112,103
1995,176,-114,-191,17
1996,37,-210,-155,96
1997,17,-55,-213,154
1998,-7,-121,-158,146
1999,71,-68,-135,168
2000,32,-90,-44,196
2001,120,-153,-15,107
2002,74,-192,-188,142
2003,-10,-200,-280,81
2004,32,-156,-218,61
2005,28,-169,-217,-14
2006,98,-221,-152,89
2007,71,-171,-81,70
2008,73,-113,-193,75
2009,2,-90,-236,78
2010,16,-221,-81,69
2011,-11,-222,-128,41
2012,-36,-3,-195,94
2013,44,-53,-142,162
2014,24,-132,-53,124
2015,54,-206,-152,62
2016,112,136,-219,51
