year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,23,-97,-159,179
1988,152,-114,-128,47
1989,23,-200,-270,32
1990,-48,-185,-329,61
1991,40,-170,-156,41
1992,-18,-143,-206,127
1993,-12,-85,-200,77
1994,54,-151,-153,50
1995,136,-174,-209,33
1996,8,-256,-230,98
1997,27,-84,-267,121
1998,-34,-82,-203,91
1999,38,-79,-75,121
2000,3,-123,-149,208
2001,189,-152,50,88
2002,55,-150,-117,195
2003,-7,-142,-317,79
2004,36,-198,-126,108
2005,35,-145,-210,20
2006,82,-231,-201,104
2007,46,-87,-108,56
2008,79,-125,-239,73
2009,-12,-120,-252,122
2010,24,-208,-100,119
2011,-22,-255,-162,101
2012,-27,-32,-159,175
2013,73,-43,-148,125
2014,32,-94,-20,82
2015,12,-215,-188,64
2016,106,53,-267,28
