year,A1,A2,A3
,label A1,label A2,label A3
1987,9,2702,62
1988,7,2542,69
1989,41,2481,274
1990,9,2697,99
1991,26,2580,197
1992,14,2417,91
1993,10,2580,118
1994,11,2544,93
1995,31,2594,197
1996,13,2547,118
1997,22,2563,199
1998,23,2717,157
1999,11,2606,123
2000,29,2425,234
2001,9,2516,66
2002,19,2582,140
2003,15,2399,109
2004,18,2711,136
2005,12,2556,95
2006,13,2475,94
2007,4,2405,56
2008,24,2454,173
2009,23,2531,166
2010,13,2800,107
2011,22,2619,167
2012,8,2722,88
2013,28,2543,186
2014,15,2393,118
2015,21,2361,132
2016,32,2398,197
2016
2017,42,2192,290
2018,37,2127,249
2019,24,2367,155
2020,38,2107,265
2021,24,2450,192
2022,27,2293,164
2023,18,2289,150
2024,31,2369,319
2025,36,2318,230
2026,40,2085,338
2027,37,2116,310
2028,27,2301,194
2029,30,2361,250
2030,30,2590,232
2031,41,2237,268
2032,48,1958,304
2033,25,2336,184
2034,35,2331,267
2035,23,2319,161
2036,23,2524,142
2037,38,2277,276
2038,43,2523,274
2039,43,2350,266
2040,54,2098,326
2041,27,2394,214
2042,34,2389,226
2043,13,2430,89
2044,29,2328,203
2045,30,2334,210
2046,35,2232,222

min,,1600
max,,3200
steps,,9
decimal
