year,F1,F3,M4
,label F1,label F3,label M4
1987,48,127,2
1988,66,123,3
1989,58,120,1
1990,60,140,0
1991,47,135,1
1992,38,120,2
1993,52,122,2
1994,60,132,1
1995,56,125,1
1996,55,134,0
1997,39,126,4
1998,62,125,3
1999,72,133,4
2000,47,120,1
2001,48,123,5
2002,52,119,4
2003,55,126,2
2004,47,140,2
2005,53,124,3
2006,45,121,3
2007,30,120,2
2008,56,116,2
2009,35,124,1
2010,64,122,1
2011,65,132,4
2012,41,134,4
2013,56,133,2
2014,46,122,0
2015,39,116,2
2016,44,114,0
2016
2017,44,125,4
2018,29,120,4
2019,43,123,5
2020,35,112,2
2021,52,127,2
2022,42,127,3
2023,36,123,3
2024,43,128,4
2025,41,130,1
2026,41,121,2
2027,22,120,3
2028,24,127,2
2029,29,126,3
2030,70,131,5
2031,36,122,4
2032,23,107,2
2033,41,116,4
2034,31,123,1
2035,29,124,4
2036,36,128,3
2037,46,119,6
2038,49,124,6
2039,49,124,2
2040,25,118,1
2041,41,119,3
2042,45,127,3
2043,41,133,3
2044,40,125,6
2045,53,126,4
2046,36,112,3
