year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,95,174,145,245
1988,247,161,170,118
1989,123,137,113,151
1990,80,120,62,152
1991,129,98,178,102
1992,77,189,130,197
1993,83,183,128,161
1994,154,140,169,139
1995,235,102,142,116
1996,96,53,116,171
1997,118,218,75,215
1998,81,212,130,160
1999,129,201,262,204
2000,97,173,164,297
2001,279,131,358,172
2002,164,149,193,283
2003,102,183,63,153
2004,146,100,223,185
2005,120,161,125,110
2006,172,92,165,190
2007,144,209,179,131
2008,176,153,104,154
2009,86,168,98,209
2010,123,96,222,192
2011,76,93,148,185
2012,71,237,162,252
2013,151,217,189,203
2014,143,203,269,157
2015,99,111,164,143
2016,198,300,66,95
