year,A1,A2,A3
,label A1,label A2,label A3
1987,86,1291,621
1988,70,1191,536
1989,76,1281,554
1990,87,1313,698
1991,76,1176,596
1992,97,1129,622
1993,93,1248,641
1994,62,1243,528
1995,122,1144,836
1996,92,1210,663
1997,66,1365,528
1998,73,1291,616
1999,103,1416,722
2000,88,1287,637
2001,85,1105,658
2002,108,1271,825
2003,104,1390,758
2004,68,1165,580
2005,111,1203,789
2006,78,1479,587
2007,102,1196,679
2008,76,1309,565
2009,59,1339,487
2010,90,1303,669
2011,81,1166,628
2012,90,1324,674
2013,93,1312,657
2014,84,1547,578
2015,68,1359,553
2016,81,1269,631
2016
2017,109,1188,816
2018,101,1242,732
2019,123,989,1016
2020,102,1282,681
2021,107,1093,842
2022,114,949,796
2023,114,1031,843
2024,94,1168,776
2025,114,979,840
2026,115,1098,862
2027,63,1233,545
2028,130,1118,964
2029,87,1068,631
2030,126,886,1022
2031,119,949,884
2032,103,1145,733
2033,103,1178,854
2034,111,1198,958
2035,128,921,861
2036,126,1236,919
2037,129,1091,960
2038,120,1010,861
2039,134,971,894
2040,117,984,933
2041,111,989,731
2042,108,1250,791
2043,104,998,731
2044,118,1107,833
2045,134,1075,891
2046,133,1031,915

min,80,900,600
max,160,1650,1500
steps,11,11,10
decimal
