year,annual-hydric-deficit
1987,-546
1988,-587
1989,-439
1990,-790
1991,-965
1992,-946
1993,-688
1994,-976
1995,-881
1996,-597
1997,-596
1998,-857
1999,-756
2000,-468
2001,-610
2002,-724
2003,-861
2004,-1009
2005,-1170
2006,-772
2007,-924
2008,-870
2009,-876
2010,-547
2011,-775
2012,-957
2013,-767
2014,-562
2015,-1131
2016,-916
