year,C1,C2,C3,C12,M1,M2,M8,Co2,Co3
,label C1-FGN,label C2,label C3-FGN,label C12,label M1-FGN,label M2,label M8,label Co2,label Co3
1987,6,4,-453,8,21,-719,34,15,23
1988,9,0,-487,6,6,-696,19,15,29
1989,4,0,-445,10,5,-661,17,15,13
1990,4,1,-368,7,4,-640,42,16,73
1991,2,3,-490,5,14,-739,37,8,22
1992,4,0,-521,10,21,-757,22,4,6
1993,0,0,-371,9,8,-663,37,18,6
1994,19,1,-432,7,13,-718,30,0,20
1995,5,0,-421,12,9,-674,34,7,17
1996,23,0,-501,10,21,-768,20,8,29
1997,7,1,-489,8,14,-746,28,19,39
1998,9,0,-440,6,9,-699,30,10,25
1999,11,0,-552,7,10,-734,21,6,12
2000,5,0,-445,6,4,-710,19,7,10
2001,4,0,-543,5,12,-726,25,29,30
2002,8,0,-439,11,7,-720,34,9,8
2003,8,0,-418,7,10,-629,36,12,4
2004,9,0,-488,8,7,-714,30,0,116
2005,11,0,-410,9,7,-700,36,7,23
2006,1,0,-324,10,18,-664,42,4,52
2007,7,0,-480,11,7,-701,31,3,24
2008,9,0,-539,7,19,-761,19,8,2
2009,12,0,-483,10,4,-758,21,5,18
2010,6,1,-324,7,16,-692,30,3,4
2011,4,0,-449,11,4,-617,26,17,11
2012,18,0,-399,10,7,-684,37,1,23
2013,5,0,-442,11,5,-678,21,7,5
2014,4,0,-390,9,11,-694,27,17,34
2015,9,0,-452,10,11,-722,29,8,35
2016,1,0,-347,6,18,-617,36,6,21
2016
2017,15,0,-485,10,25,-687,32,13,9
2018,14,0,-391,10,9,-729,30,17,0
2019,2,0,-440,10,22,-717,28,9,2
2020,12,0,-470,7,31,-767,29,10,6
2021,8,2,-439,8,23,-735,23,7,34
2022,15,0,-466,10,26,-680,33,1,26
2023,4,0,-482,5,14,-715,26,8,11
2024,7,0,-522,7,27,-785,29,3,31
2025,8,0,-435,6,16,-703,27,5,51
2026,16,0,-570,7,34,-805,11,4,28
2027,2,0,-324,4,27,-670,50,13,0
2028,9,0,-445,8,17,-694,17,2,17
2029,11,0,-468,10,30,-761,31,10,70
2030,4,1,-403,7,11,-690,29,5,3
2031,14,0,-449,9,25,-716,23,1,49
2032,17,0,-418,8,26,-669,17,11,2
2033,16,0,-317,10,20,-653,43,9,21
2034,12,0,-507,10,8,-703,32,12,31
2035,12,0,-435,11,16,-690,33,0,3
2036,14,0,-378,9,22,-706,28,4,11
2037,7,0,-461,10,19,-674,24,7,24
2038,8,0,-505,8,21,-710,23,2,14
2039,14,0,-415,9,20,-747,38,16,32
2040,11,0,-439,7,15,-710,23,5,13
2041,13,0,-466,4,17,-754,28,1,71
2042,10,0,-470,3,20,-732,31,3,30
2043,9,0,-458,9,16,-717,21,2,25
2044,1,0,-431,8,14,-676,36,9,0
2045,6,0,-490,10,14,-728,24,17,22
2046,9,0,-487,11,26,-754,16,6,0

min,,,,0,,,5
max,,,,12,,,55
steps,,,,13,,,11
decimal
