year,annual-precipitations
1987,335
1988,386
1989,558
1990,283
1991,318
1992,392
1993,453
1994,215
1995,264
1996,502
1997,519
1998,325
1999,253
2000,174
2001,266
2002,370
2003,319
2004,382
2005,215
2006,273
2007,263
2008,511
2009,371
2010,586
2011,330
2012,405
2013,445
2014,319
2015,363
2016,341
