year,annual-estival-days
1987,124
1988,98
1989,113
1990,129
1991,117
1992,110
1993,90
1994,123
1995,113
1996,100
1997,117
1998,106
1999,132
2000,132
2001,127
2002,126
2003,138
2004,131
2005,135
2006,136
2007,121
2008,105
2009,140
2010,123
2011,137
2012,142
2013,124
2014,147
2015,127
2016,135
