year,annual-precipitations
1987,709
1988,767
1989,524
1990,388
1991,571
1992,443
1993,640
1994,486
1995,650
1996,787
1997,572
1998,672
1999,843
2000,250
2001,729
2002,546
2003,464
2004,712
2005,734
2006,591
2007,657
2008,565
2009,608
2010,780
2011,415
2012,585
2013,680
2014,715
2015,499
2016,761

min,300
max,2000
steps,10
decimal
