year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,125,281,191,112
1988,172,214,139,241
1989,38,249,136,102
1990,75,83,93,137
1991,58,161,202,150
1992,26,174,73,170
1993,71,131,139,299
1994,96,188,133,70
1995,122,278,134,117
1996,101,262,228,196
1997,61,221,160,129
1998,38,245,246,143
1999,132,256,252,202
2000,62,89,47,52
2001,118,232,286,93
2002,33,131,267,115
2003,97,101,114,152
2004,123,205,199,185
2005,130,240,257,107
2006,137,220,168,65
2007,149,126,218,164
2008,99,181,163,122
2009,112,127,81,288
2010,163,264,179,173
2011,82,109,153,72
2012,100,200,122,163
2013,250,191,158,80
2014,88,190,301,136
2015,99,122,159,119
2016,178,243,165,175
