year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,-1.1,14.8,20.2,6.6
1988,3.8,14.9,20.5,4.2
1989,3.6,15.7,19.5,6.0
1990,4.8,15.6,18.8,6.9
1991,2.4,14.4,20.2,5.2
1992,2.1,16.1,21.3,5.9
1993,0.3,16.4,19.8,7.2
1994,4.6,16.1,22.5,6.0
1995,3.5,15.0,20.0,5.7
1996,-0.4,16.7,18.2,6.9
1997,2.1,14.6,18.8,6.1
1998,3.8,16.4,19.9,4.4
1999,2.5,16.3,20.8,5.8
2000,2.2,17.9,21.0,9.5
2001,5.2,15.5,20.3,4.6
2002,4.5,17.2,20.6,7.0
2003,-1.4,17.6,21.4,6.5
2004,1.8,15.5,19.8,7.6
2005,-0.1,15.5,20.1,6.2
2006,1.1,16.0,20.3,7.8
2007,6.4,17.4,20.7,5.3
2008,4.5,17.1,19.9,8.3
2009,2.3,17.4,22.0,7.7
2010,3.1,16.4,20.8,6.6
2011,1.7,16.6,22.0,5.9
2012,0.9,17.3,22.8,7.1
2013,3.6,16.8,20.6,8.2
2014,6.4,16.4,20.8,8.3
2015,4.1,16.4,22.9,7.5
2016,4.9,17.2,21.1,5.2
