year,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10
1987,455,726,-480,-490,2,11.3,4276,98,19.3,74
1988,463,687,-473,-448,13,11.7,4372,85,19.7,81
1989,543,720,-390,-422,29,10.9,4183,88,19.5,98
1990,558,762,-434,-434,16,12.4,4687,104,21.3,69
1991,587,797,-479,-489,10,11.9,4494,101,20.5,73
1992,455,766,-535,-518,6,12.0,4506,115,23.3,91
1993,394,820,-700,-636,4,11.3,4326,93,20.3,84
1994,519,829,-551,-546,23,11.1,4327,110,22.2,100
1995,463,689,-463,-477,50,12.0,4457,89,20.0,68
1996,529,788,-548,-492,-11,11.9,4440,78,19.6,67
1997,422,852,-671,-683,-8,11.4,4414,120,21.3,99
1998,650,757,-330,-397,93,12.1,4570,104,19.8,83
1999,448,841,-688,-571,-68,12.3,4598,103,22.4,84
2000,546,782,-498,-478,-20,10.4,4021,82,19.7,100
2001,452,721,-501,-499,6,12.0,4487,93,19.8,75
2002,471,762,-513,-507,14,11.5,4380,105,21.8,89
2003,510,698,-400,-470,76,10.5,4054,82,21.3,107
2004,379,751,-588,-591,-5,12.0,4461,103,21.7,70
2005,573,741,-371,-427,20,11.6,4313,109,19.3,91
2006,465,712,-458,-471,23,10.7,4188,83,20.0,84
2007,416,695,-496,-496,34,11.5,4330,84,19.9,73
2008,447,711,-460,-439,-13,10.4,4007,91,21.1,115
2009,506,706,-420,-468,54,11.3,4270,90,20.5,71
2010,468,742,-504,-540,17,12.6,4721,108,22.1,61
2011,489,766,-502,-502,-4,12.0,4531,97,20.6,66
2012,436,662,-435,-427,-15,9.3,3722,71,18.7,110
2013,576,689,-333,-372,28,11.1,4196,83,19.4,89
2014,483,754,-496,-466,23,12.0,4540,114,20.5,65
2015,541,731,-393,-490,70,11.1,4146,83,20.3,84
2016,536,700,-393,-381,-30,11.4,4285,78,18.9,88
2016
2017,495,769,-511,-532,33,12.9,4773,119,22.4,73
2018,540,693,-381,-416,40,11.7,4437,77,20.0,66
2019,617,730,-335,-450,63,12.3,4541,95,21.1,75
2020,470,739,-480,-493,14,11.6,4396,84,21.1,75
2021,501,786,-589,-508,-60,13.6,4985,100,21.3,41
2022,355,747,-633,-552,-1,13.4,4913,127,21.0,55
2023,377,853,-757,-651,-62,11.9,4455,104,21.2,86
2024,452,778,-598,-585,43,12.1,4512,93,22.0,69
2025,457,692,-464,-469,36,13.1,4927,111,19.7,67
2026,388,847,-750,-663,-60,12.8,4728,120,21.8,79
2027,359,778,-692,-622,-44,12.3,4528,89,21.2,54
2028,527,741,-438,-485,56,12.6,4712,107,23.2,71
2029,538,824,-596,-508,-44,12.6,4602,98,20.1,55
2030,614,805,-442,-482,40,11.7,4453,107,22.8,104
2031,489,686,-416,-413,24,12.8,4693,113,22.2,76
2032,441,781,-566,-561,-14,12.4,4635,124,22.5,88
2033,521,698,-401,-482,24,11.9,4400,103,21.6,70
2034,347,778,-664,-630,-30,13.7,5051,122,23.5,63
2035,509,724,-440,-533,93,12.5,4638,103,20.3,77
2036,518,736,-448,-486,-3,13.1,4876,128,21.6,69
2037,395,782,-607,-585,7,11.9,4477,123,22.1,99
2038,501,767,-482,-490,-12,12.2,4530,116,22.3,94
2039,512,762,-462,-484,21,11.8,4497,117,23.3,99
2040,424,711,-510,-519,20,11.8,4395,101,21.4,79
2041,492,754,-476,-540,56,11.9,4399,109,20.6,86
2042,534,741,-429,-462,1,13.0,4798,107,22.1,68
2043,431,741,-541,-544,30,11.9,4477,99,22.6,83
2044,374,723,-579,-510,-16,12.3,4546,97,19.7,69
2045,377,766,-596,-643,5,12.3,4547,101,22.2,79
2046,466,724,-492,-482,29,12.8,4753,106,22.6,67
