year,annual-frozen-days
1987,101
1988,88
1989,80
1990,105
1991,118
1992,69
1993,80
1994,56
1995,83
1996,113
1997,78
1998,78
1999,72
2000,43
2001,77
2002,51
2003,84
2004,85
2005,82
2006,79
2007,41
2008,64
2009,71
2010,90
2011,62
2012,60
2013,78
2014,26
2015,61
2016,59
