year,annual-estival-days
1987,25
1988,25
1989,34
1990,35
1991,38
1992,46
1993,39
1994,55
1995,42
1996,28
1997,50
1998,34
1999,48
2000,45
2001,45
2002,45
2003,90
2004,39
2005,49
2006,57
2007,41
2008,45
2009,43
2010,43
2011,55
2012,49
2013,44
2014,38
2015,56
2016,55

min,16
max,130
steps,9
decimal
