year,annual-precipitations
1987,868
1988,1012
1989,682
1990,741
1991,766
1992,776
1993,553
1994,967
1995,828
1996,836
1997,731
1998,754
1999,921
2000,787
2001,747
2002,702
2003,732
2004,793
2005,608
2006,808
2007,846
2008,980
2009,807
2010,794
2011,597
2012,736
2013,741
2014,745
2015,667
2016,911
