year,A1,A2,A3
,label A1,label A2,label A3
1987,25,2491,139
1988,36,2467,217
1989,31,2226,198
1990,32,2328,223
1991,28,2445,243
1992,31,2492,205
1993,41,2172,266
1994,29,2550,228
1995,24,2503,181
1996,16,2561,143
1997,13,2301,131
1998,14,2473,138
1999,26,2471,209
2000,24,2374,210
2001,17,2195,128
2002,8,2206,72
2003,20,2044,168
2004,48,2399,312
2005,24,2691,166
2006,23,2122,152
2007,32,2344,186
2008,20,2306,161
2009,18,2438,128
2010,24,2176,214
2011,39,2355,262
2012,13,2526,96
2013,24,2260,164
2014,28,2069,208
2015,34,2413,244
2016,33,2269,239
2016
2017,49,1907,334
2018,69,2084,477
2019,48,1991,316
2020,55,2027,326
2021,40,1793,331
2022,67,2266,396
2023,41,2234,358
2024,41,2081,316
2025,73,2218,479
2026,31,2134,253
2027,44,1847,306
2028,53,1924,348
2029,62,2186,420
2030,51,1786,391
2031,78,2091,517
2032,55,2082,371
2033,52,1750,327
2034,43,2142,268
2035,56,2412,354
2036,71,2035,472
2037,69,2043,476
2038,51,1984,339
2039,64,2128,414
2040,38,2178,263
2041,58,2097,377
2042,63,2332,420
2043,44,2172,306
2044,82,2269,524
2045,58,2140,421
2046,51,2165,330

min,,1500
max,,2850
steps,,10
decimal



