year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,83,-124,-95,169
1988,215,176,-225,20
1989,-4,-52,-236,-41
1990,-4,-79,-269,191
1991,40,-109,-143,129
1992,-73,31,-129,121
1993,-104,-119,-120,33
1994,86,-1,-152,133
1995,92,-169,-183,126
1996,107,-135,-152,120
1997,-64,-68,-193,91
1998,-37,-37,-203,77
1999,20,-54,-94,131
2000,-6,-74,-228,158
2001,83,-143,-97,13
2002,-47,-90,-172,131
2003,-24,-237,-212,168
2004,87,-129,-125,61
2005,0,-147,-230,39
2006,133,-250,-90,54
2007,106,-26,-130,41
2008,107,43,-211,186
2009,24,-65,-234,152
2010,88,-64,-223,117
2011,11,-263,-187,91
2012,-22,27,-277,87
2013,53,-46,-196,108
2014,145,-154,-125,34
2015,78,-124,-203,3
2016,255,17,-312,79
