year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,3.6,13.7,20.2,9.4
1988,6.8,14.5,18.7,8.8
1989,7.2,14.4,19.7,10.3
1990,8.4,14.5,20.2,8.2
1991,6.2,12.8,21.0,7.5
1992,5.5,14.3,19.6,8.9
1993,6.1,14.8,18.1,8.2
1994,7.5,14.2,20.1,10.6
1995,7.0,14.4,19.3,10.4
1996,6.7,14.8,18.1,8.6
1997,7.9,15.2,20.4,10.2
1998,7.8,14.9,19.6,7.5
1999,6.7,15.3,20.6,8.3
2000,6.8,15.6,19.7,10.6
2001,8.1,14.6,19.0,8.1
2002,8.0,14.9,18.3,10.6
2003,6.0,17.4,21.8,9.0
2004,5.9,14.7,19.8,8.9
2005,4.9,16.0,19.4,8.4
2006,5.4,15.9,21.0,10.6
2007,7.4,16.3,18.3,7.7
2008,7.5,15.0,18.8,8.0
2009,5.5,15.9,20.6,9.8
2010,4.8,14.6,19.5,7.6
2011,6.7,16.6,20.1,11.1
2012,5.2,15.2,20.1,10.0
2013,5.4,13.2,20.7,9.7
2014,8.3,15.7,19.0,11.2
2015,6.0,16.6,20.3,11.2
2016,7.4,14.6,20.9,10.0
