year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,119,136,111,261
1988,143,168,30,147
1989,68,117,14,121
1990,55,124,65,227
1991,97,60,136,145
1992,58,146,76,149
1993,28,176,136,191
1994,151,124,185,224
1995,122,140,163,212
1996,240,109,159,341
1997,121,98,67,218
1998,62,197,102,103
1999,207,99,154,299
2000,69,155,120,458
2001,204,146,70,58
2002,138,193,183,329
2003,86,119,78,256
2004,84,79,58,258
2005,40,130,148,185
2006,154,32,144,169
2007,75,155,28,104
2008,159,201,81,340
2009,185,202,96,275
2010,228,214,74,307
2011,171,105,104,265
2012,28,210,98,319
2013,199,202,148,203
2014,290,118,152,308
2015,164,124,146,143
2016,131,112,73,320
2017,114,100,31,121
2018,166,228,107,316
2019,27,152,101,464
2020,78,217,57,146
