year,annual-precipitations
1987,627
1988,487
1989,321
1990,471
1991,437
1992,430
1993,531
1994,685
1995,635
1996,849
1997,505
1998,465
1999,759
2000,802
2001,478
2002,844
2003,540
2004,478
2005,504
2006,498
2007,363
2008,780
2009,758
2010,822
2011,646
2012,654
2013,752
2014,869
2015,576
2016,636
2017,366
2018,817
2019,744
2020,498
