year,annual-estival-days
1987,98
1988,85
1989,107
1990,109
1991,102
1992,55
1993,57
1994,97
1995,75
1996,79
1997,110
1998,93
1999,111
2000,109
2001,93
2002,84
2003,114
2004,103
2005,99
2006,115
2007,114
2008,88
2009,126
2010,110
2011,126
2012,120
2013,104
2014,108
2015,120
2016,106
2017,118
2018,121
2019,113
2020,112

min,0
max,135
steps,10
decimal
