year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,99,293,189,160
1988,166,151,216,83
1989,49,306,175,47
1990,44,172,90,106
1991,22,156,91,206
1992,78,78,52,94
1993,78,123,103,117
1994,50,129,226,94
1995,72,202,345,79
1996,95,237,322,129
1997,48,180,316,159
1998,87,166,250,143
1999,56,245,166,110
2000,106,157,280,144
2001,139,205,313,76
2002,46,194,179,149
2003,46,140,198,133
2004,115,193,100,118
2005,96,172,291,116
2006,104,199,207,96
2007,117,113,254,106
2008,60,178,320,83
2009,138,200,193,186
2010,85,390,247,112
2011,68,183,211,49
2012,83,149,227,138
2013,113,267,157,65
2014,63,241,276,69
2015,48,109,64,66
2016,87,142,186,116
