year,annual-estival-days
1987,26
1988,34
1989,39
1990,41
1991,36
1992,63
1993,52
1994,54
1995,58
1996,33
1997,41
1998,37
1999,43
2000,50
2001,34
2002,63
2003,60
2004,34
2005,48
2006,50
2007,55
2008,49
2009,49
2010,40
2011,47
2012,60
2013,44
2014,43
2015,59
2016,58

min,16
max,130
steps,9
decimal
