year,F1,F3,M4
,label F1,label F3,label M4
1987,32,128,3
1988,68,129,4
1989,61,123,3
1990,43,126,2
1991,40,132,2
1992,47,124,0
1993,42,114,2
1994,57,122,3
1995,43,119,2
1996,56,121,2
1997,61,124,2
1998,47,124,2
1999,47,126,2
2000,50,116,2
2001,45,121,2
2002,59,132,0
2003,40,125,2
2004,58,119,1
2005,34,122,1
2006,35,104,2
2007,58,124,1
2008,36,116,2
2009,31,114,3
2010,25,126,1
2011,25,128,0
2012,48,119,1
2013,61,130,3
2014,48,129,3
2015,55,130,1
2016,47,133,2
2016
2017,21,125,3
2018,41,115,3
2019,31,124,5
2020,38,122,3
2021,52,131,4
2022,46,127,1
2023,42,117,4
2024,31,122,3
2025,29,123,2
2026,39,131,2
2027,41,128,3
2028,50,120,4
2029,49,117,1
2030,49,113,2
2031,36,123,4
2032,52,122,4
2033,55,127,4
2034,29,119,3
2035,31,125,7
2036,45,121,4
2037,31,117,5
2038,32,113,2
2039,44,121,4
2040,52,136,5
2041,49,127,5
2042,64,126,3
2043,31,125,2
2044,59,116,4
2045,43,126,2
2046,30,131,1
